Note: The 3rd column of each metric is the comparision with the manually evaluated abstract. 1 signifies true/correct judgement by GPT. It doesn't necessarily have to agree with the manual evaluation as there were a couple of papers where GPT correctly identified metrics that were missed in the manual evaluation. Highlighted cells indicate interesting findings (GPT was mistaken/Manual evaluation was incorrect/etc.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paper,problem,problem_phrase,problem_phrase_comparision,objective,objective_phrase,objective_phrase_comparision,research_method,research_method_phrase,research_method_phrase_comparision,research_questions,research_questions_phrase,research_questions_phrase_comparision,pseudocode,pseudocode_phrase,pseudocode_phrase_comparision,dataset,dataset_phrase,dataset_phrase_comparision,hypothesis,hypothesis_phrase,hypothesis_phrase_comparision,prediction,prediction_phrase,prediction_phrase_comparision,code_avail,code_avail_phrase,code_avail_phrase_comparision,software_dependencies,software_dependencies_phrase,software_dependencies_phrase_comparision,experiment_setup,experiment_setup_phrase,experiment_setup_phrase_comparision,
2010.04261,1,'Hessian captures important properties of the deep neural network loss landscape.' and 'Previous works have observed low rank structure in the Hessians of neural networks.',1,1,"In this paper, we propose a decoupling conjecture that decomposes the layer-wise Hessians of a network as the Kronecker product of two smaller matrices.",1,1,We can analyze the properties of these smaller matrices and prove the structure of top eigenspace random 2-layer networks.' and 'All of these can be verified empirically for deeper networks.,1,0,,1,0,,1,0,,1,0.5,"The decoupling conjecture has several other interesting implications - top eigenspaces for different models have surprisingly high overlap, and top eigenvectors form low rank matrices when they are reshaped into the same shape as the corresponding weight matrix.",1,1,"Finally, we use the structure of layer-wise Hessian to get better explicit generalization bounds for neural networks",0,0,,1,0,,1,0.5,All of these can be verified empirically for deeper networks.,1,"Hessian captures important properties of the deep neural network loss
landscape. Previous works have observed low rank structure in the Hessians of
neural networks. In this paper, we propose a decoupling conjecture that
decomposes the layer-wise Hessians of a network as the Kronecker product of two
smaller matrices. We can analyze the properties of these smaller matrices and
prove the structure of top eigenspace random 2-layer networks. The decoupling
conjecture has several other interesting implications - top eigenspaces for
different models have surprisingly high overlap, and top eigenvectors form low
rank matrices when they are reshaped into the same shape as the corresponding
weight matrix. All of these can be verified empirically for deeper networks.
Finally, we use the structure of layer-wise Hessian to get better explicit
generalization bounds for neural networks."
2010.04855,0.75,"We propose estimators based on kernel ridge regression for nonparametric causal functions such as dose, heterogeneous, and incremental response curves.",1,0.65,"We propose estimators based on kernel ridge regression for nonparametric causal functions such as dose, heterogeneous, and incremental response curves",1,0.85,"Due to a decomposition property specific to the RKHS, our estimators have simple closed form solutions. We prove uniform consistency with finite sample rates via original analysis of generalized kernel ridge regression",1,0,,1,0,,1,0.5,and conduct a policy evaluation of the US Job Corps training program for disadvantaged youths' (Indirect reference to a dataset used for policy evaluation),1,0,,1,0,,1,0,,1,0,,1,0.5,We prove uniform consistency with finite sample rates via original analysis of generalized kernel ridge regression.' (Indirect reference to the experimental setup which involves the original analysis of generalized kernel ridge regression).,1,
2011.11576,1,We propose the use of a conjecturing machine that generates feature relationships in the form of bounds involving nonlinear terms for numerical features and boolean expressions for categorical features.,1,1,The proposed \textsc{Conjecturing} framework recovers known nonlinear and boolean relationships among features from data.,1,1,We propose the use of a conjecturing machine that...generates feature relationships in the form of bounds involving nonlinear terms for numerical features and boolean expressions for categorical features.,1,0,,1,0,,1,1,The framework is then applied to patient-level data regarding COVID-19 outcomes...,0,0,,1,1,"We then compare the method to a previously-proposed framework for symbolic regression and demonstrate that it can also be used to recover equations...', 'The framework is then applied to patient-level data regarding COVID-19 outcomes to suggest possible risk factors that are confirmed in medical literature.'",0,0,,1,0,,1,0,,1,
2012.09302,1,Neural backdoors represent one primary threat to the security of deep learning systems.,1,1,"To bridge this gap, we design and implement TROJANZOO, the first open-source platform for evaluating neural backdoor attacks/defenses in a unified, holistic, and practical manner",1,1,"Leveraging TROJANZOO, we conduct a systematic study on the existing attacks/defenses, unveiling their complex design spectrum: both manifest intricate trade-offs among multiple desiderata (e.g., the effectiveness, evasiveness, and transferability of attacks).",1,0,Not provided,0,0,Not provided,1,0,Not provided,1,0,Not provided,1,0.5,"We further explore improving the existing attacks/defenses, leading to a number of interesting findings",1,1,"TROJANZOO, the first open-source platform for evaluating neural backdoor attacks/defenses in a unified, holistic, and practical manner.",1,0,Not provided,1,1,"Focusing on the computer vision domain, it has incorporated 8 representative attacks, 14 state-of-the-art defenses, 6 attack performance metrics, 10 defense utility metrics, as well as rich tools for in-depth analysis of the attack-defense interactions.",0,"Neural backdoors represent one primary threat to the security of deep
learning systems. The intensive research has produced a plethora of backdoor
attacks/defenses, resulting in a constant arms race. However, due to the lack
of evaluation benchmarks, many critical questions remain under-explored: (i)
what are the strengths and limitations of different attacks/defenses? (ii) what
are the best practices to operate them? and (iii) how can the existing
attacks/defenses be further improved?
  To bridge this gap, we design and implement TROJANZOO, the first open-source
platform for evaluating neural backdoor attacks/defenses in a unified,
holistic, and practical manner. Thus far, focusing on the computer vision
domain, it has incorporated 8 representative attacks, 14 state-of-the-art
defenses, 6 attack performance metrics, 10 defense utility metrics, as well as
rich tools for in-depth analysis of the attack-defense interactions. Leveraging
TROJANZOO, we conduct a systematic study on the existing attacks/defenses,
unveiling their complex design spectrum: both manifest intricate trade-offs
among multiple desiderata (e.g., the effectiveness, evasiveness, and
transferability of attacks). We further explore improving the existing
attacks/defenses, leading to a number of interesting findings: (i) one-pixel
triggers often suffice; (ii) training from scratch often outperforms perturbing
benign models to craft trojan models; (iii) optimizing triggers and trojan
models jointly greatly improves both attack effectiveness and evasiveness; (iv)
individual defenses can often be evaded by adaptive attacks; and (v) exploiting
model interpretability significantly improves defense robustness. We envision
that TROJANZOO will serve as a valuable platform to facilitate future research
on neural backdoors."
2101.07354,1,"Random-walk based network embedding algorithms like DeepWalk and node2vec are widely used to obtain Euclidean representation of the nodes in a network prior to performing downstream inference tasks. However, despite their impressive empirical performance, there is a lack of theoretical results explaining their large-sample behavior",1,0.9,"In this paper, we study node2vec and DeepWalk through the perspective of matrix factorization.",1,0.9,"Specifically, as the network becomes sparser, our results guarantee that with large enough window size and vertices number, applying $K$-means/medians on the matrix factorization-based node2vec embeddings can, with high probability, correctly recover the memberships of all vertices in a network generated from the stochastic blockmodel (or its degree-corrected variants).",1,0,,1,0,Not directly mentioned,1,0.8,"The theoretical justifications are mirrored in the numerical experiments and real data applications, for both the original node2vec and its matrix factorization variant.",0,0,Not explicitly mentioned,1,0.9,"By exploiting the row-wise uniform perturbation bound for leading singular vectors, we derive high-probability error bounds between the matrix factorization-based node2vec/DeepWalk embeddings and their true counterparts, uniformly over all node embeddings.",0,0,Not mentioned,1,0,Not mentioned directly,1,0.9,"Based on strong concentration results, we further show the perfect membership recovery by node2vec/DeepWalk, followed by $K$-means/medians algorithms. Specifically, as the network becomes sparser, our results guarantee that with large enough window size and vertices number, applying $K$-means/medians on the matrix factorization-based node2vec embeddings can, with high probability, correctly recover the memberships of all vertices in a network generated from the stochastic blockmodel (or its degree-corrected variants).",0,
2102.11887,0.6,"Based on strong concentration results, we further show the perfect membership recovery by node2vec/DeepWalk, followed by $K$-means/medians algorithms. Specifically, as the network becomes sparser, our results guarantee that with large enough window size and vertices number, applying $K$-means/medians on the matrix factorization-based node2vec embeddings can, with high probability, correctly recover the memberships of all vertices in a network generated from the stochastic blockmodel (or its degree-corrected variants).",1,0.8,"We conclude that to achieve the goal of full quantum machine learning, it is crucial to utilize the deferred measurement principle",1,0.6,"We define its quantum generalization, the quantum cross entropy, prove its lower bounds, and investigate its relation to quantum fidelity",1,0,,1,0,,1,0,,1,0,,1,0.2,These two different scenarios illustrate the information loss when making quantum measurements.,1,0,,1,0,,1,0,,1,
2104.11893,1,"Disentangled Graph Convolutional Network (DisenGCN) is an encouraging framework to disentangle the latent factors arising in a real-world graph. However, it relies on disentangling information heavily from a local range (i.e., a node and its 1-hop neighbors), while the local information in many cases can be uneven and incomplete, hindering the interpretabiliy power and model performance of DisenGCN",1,1,"In this paper, we introduce a novel Local and Global Disentangled Graph Convolutional Network (LGD-GCN) to capture both local and global information for graph disentanglement",1,1,"LGD-GCN performs a statistical mixture modeling to derive a factor-aware latent continuous space, and then constructs different structures w.r.t. different factors from the revealed space.",1,0,,1,0,,1,0.5,Evaluations of the proposed LGD-GCN on the synthetic and real-world datasets,1,0,,1,0,,1,0,,1,0,,1,0,,1,
2104.12546,1,"The COVID-19 pandemic considerably affects public health systems around the world. The lack of knowledge about the virus, the extension of this phenomenon, and the speed of the evolution of the infection are all factors that highlight the necessity of employing new approaches to study these events.",1,1,The aim of this work is to investigate any possible relationships between air quality and confirmed cases of COVID-19 in Italian districts.,1,1,"Specifically, we report an analysis of the correlation between daily COVID-19 cases and environmental factors, such as temperature, relative humidity, and atmospheric pollutants.",0,0,N/A,1,0,N/A,1,0,N/A,1,1,Our analysis confirms a significant association of some environmental parameters with the spread of the virus.,1,1,This suggests that machine learning models trained on the environmental parameters to predict the number of future infected cases may be accurate.,0,0,N/A,1,0,N/A,1,1,"Specifically, we report an analysis of the correlation between daily COVID-19 cases and environmental factors, such as temperature, relative humidity, and atmospheric pollutants",0,
2105.01099,0.8,"Several core challenges are to continue to be tackled: model complexity, agent coordination, and joint optimization of multiple levers",1,1,"In this paper, we present a comprehensive, in-depth survey of the literature on reinforcement learning approaches to decision optimization problems in a typical ridesharing system.",1,1,"In this paper, we present a comprehensive, in-depth survey of the literature...",0,0,,1,0,,1,1,we also introduce popular data sets and open simulation environments to facilitate further research and development.,0,0,,1,0,,1,0,,1,0,,1,0,,1,
2105.01937,1,"The increasing availability of video recordings made by multiple cameras has offered new means for mitigating occlusion and depth ambiguities in pose and motion reconstruction methods. Yet, multi-view algorithms strongly depend on camera parameters; particularly, the relative transformations between the cameras. Such a dependency becomes a hurdle once shifting to dynamic capture in uncontrolled settings.",1,0.9,"We introduce FLEX (Free muLti-view rEconstruXion), an end-to-end extrinsic parameter-free multi-view model.",1,1,"""Our network takes multiple video streams, learns fused deep features through a novel multi-view fusion layer, and reconstructs a single consistent skeleton with temporally coherent joint rotations.",0,0,,1,0,,1,1,"""We demonstrate quantitative and qualitative results on three public datasets, and on synthetic multi-person video streams captured by dynamic cameras.",1,0,,1,0.5,"We compare our model to state-of-the-art methods that are not ep-free and show that in the absence of camera parameters, we outperfom them by a large margin while obtaining comparable results when camera parameters are available.",0,1,"Code, trained models, and other materials are available on our project page.",1,0,,1,0.7,"We compare our model to state-of-the-art methods that are not ep-free and show that in the absence of camera parameters, we outperfom them by a large margin while obtaining comparable results when camera parameters are available.",0,
2105.15197,1,"Debiased machine learning is a meta algorithm based on bias correction and sample splitting to calculate confidence intervals for functionals, i.e. scalar summaries, of machine learning algorithms.",1,1,"'For example, an analyst may desire the confidence interval for a treatment effect estimated with a neural network.",0,1,"We provide a nonasymptotic debiased machine learning theorem that encompasses any global or local functional of any machine learning algorithm that satisfies a few simple, interpretable conditions.",0,0,,1,0,,1,0,,1,0.5,"The rate of convergence is $n^{-1/2}$ for global functionals, and it degrades gracefully for local functionals.",0,0,,1,0,,1,0,,1,1,"Formally, we prove consistency, Gaussian approximation, and semiparametric efficiency by finite sample arguments.",0,
2106.01528,1,Controlled feature selection aims to discover the features a response depends on while limiting the false discovery rate (FDR),1,1,We propose a new procedure called FlowSelect to perform controlled feature selection that does not suffer from either of these two problems.,1,1,"To more accurately model the features, FlowSelect uses normalizing flows, the state-of-the-art method for density estimation. Instead of enforcing the """"swap"""" property, FlowSelect uses a novel MCMC-based procedure to calculate p-values for each feature directly.",0,0,,1,0,,1,0.7,"'Empirically, FlowSelect consistently controls the FDR on both synthetic and semi-synthetic benchmarks, whereas competing knockoff-based approaches do not.",0,0,,1,0.7,"Empirically, FlowSelect consistently controls the FDR on both synthetic and semi-synthetic benchmarks, whereas competing knockoff-based approaches do not. FlowSelect also demonstrates greater power on these benchmarks.",0,0,,1,0,,1,0.7,"Empirically, FlowSelect consistently controls the FDR on both synthetic and semi-synthetic benchmarks, whereas competing knockoff-based approaches do not. FlowSelect also demonstrates greater power on these benchmarks.",0,
2106.03157,1,Existing combinatorial search methods are often complex and require some level of expertise.,1,1,"This work introduces a simple and efficient deep learning method for solving combinatorial problems with a predefined goal, represented by Rubik's Cube.'",1,1,"We demonstrate that, for such problems, training a deep neural network on random scrambles branching from the goal state is sufficient to achieve near-optimal solutions.",0,0,,1,0,,1,0,,1,0,,1,1,"When tested on Rubik's Cube, 15 Puzzle, and 7$\times$7 Lights Out, our method outperformed the previous state-of-the-art method DeepCubeA, improving the trade-off between solution optimality and computational cost, despite significantly less training data",0,0,,1,0,,1,0,,1,
2106.03725,0.7,The paper defines and studies manifold (M) convolutional filters and neural networks (NNs).,1,0.8,The main technical contribution of the paper is to analyze the stability of manifold filters and MNNs to smooth deformations of the manifold.,1,0,Not explicitly mentioned,1,0,Not explicitly mentioned,1,0,Not explicitly mentioned,1,0,Not explicitly mentioned,1,0.6,"manifold filters, same as graph filters and standard continuous time filters, have difficulty discriminating high frequency components in the presence of deformations.",0,0,Not explicitly mentioned,1,0,Not explicitly mentioned,1,0,Not explicitly mentioned,1,0,Not explicitly mentioned,1,
2106.06927,1,"Despite unconditional feature inversion being the foundation of many image synthesis applications, training an inverter demands a high computational budget, large decoding capacity and imposing conditions such as autoregressive priors.",1,1,"To address these limitations, we propose the use of adversarially robust representations as a perceptual primitive for feature inversion.",1,1,"We train an adversarially robust encoder to extract disentangled and perceptually-aligned image representations, making them easily invertible",0,0,,1,0,,1,0,,1,0,,1,1,"By training a simple generator with the mirror architecture of the encoder, we achieve superior reconstruction quality and generalization over standard models.",0,0,,1,0,,1,1,"Based on this, we propose an adversarially robust autoencoder and demonstrate its improved performance on style transfer, image denoising and anomaly detection tasks.",0,
2106.07704,1,"This paradigm relies on direct supervision examples, which is not applicable to many emerging applications, such as generating adversarial attacks or generating prompts to control language models.",0,1,"Reinforcement learning (RL) on the other hand offers a more flexible solution by allowing users to plug in arbitrary task metrics as reward."""" and """"In this paper, we introduce a new RL formulation for text generation from the soft Q-learning (SQL) perspective. It enables us to draw from the latest RL advances, such as path consistency learning, to combine the best of on-/off-policy updates, and learn effectively from sparse reward.",1,1,"soft Q-learning (SQL) perspective"""" and """"path consistency learning, to combine the best of on-/off-policy updates, and learn effectively from sparse reward",0,0,,1,0,,1,0,,1,0,,1,0.5,Experiments show our approach consistently outperforms both task-specialized algorithms and the previous RL methods.,1,0,,1,0,,1,1,"We apply the approach to a wide range of novel text generation tasks, including learning from noisy/negative examples, adversarial attacks, and prompt generation.",0,
2106.10898,0,,0,1,"To address the aforementioned problems, a multi-armed bandit based collaborative filtering recommender system has been proposed, named BanditMF.",1,0.8,"a multi-armed bandit based collaborative filtering recommender system has been proposed, named BanditMF.",0,1,"(1) how to solve the cold start problem for collaborative filtering under the condition of scarcity of valid information, (2) how to solve the sub-optimal problem of bandit algorithms in strong social relations domains caused by independently estimating unknown parameters associated with each user and ignoring correlations between users",1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,"Multi-armed bandits (MAB) provide a principled online learning approach to
attain the balance between exploration and exploitation. Due to the superior
performance and low feedback learning without the learning to act in multiple
situations, Multi-armed Bandits drawing widespread attention in applications
ranging such as recommender systems. Likewise, within the recommender system,
collaborative filtering (CF) is arguably the earliest and most influential
method in the recommender system. Crucially, new users and an ever-changing
pool of recommended items are the challenges that recommender systems need to
address. For collaborative filtering, the classical method is training the
model offline, then perform the online testing, but this approach can no longer
handle the dynamic changes in user preferences which is the so-called cold
start. So how to effectively recommend items to users in the absence of
effective information? To address the aforementioned problems, a multi-armed
bandit based collaborative filtering recommender system has been proposed,
named BanditMF. BanditMF is designed to address two challenges in the
multi-armed bandits algorithm and collaborative filtering: (1) how to solve the
cold start problem for collaborative filtering under the condition of scarcity
of valid information, (2) how to solve the sub-optimal problem of bandit
algorithms in strong social relations domains caused by independently
estimating unknown parameters associated with each user and ignoring
correlations between users."
2106.12177,1,"Imitation learning aims to extract knowledge from human experts' demonstrations or artificially created agents in order to replicate their behaviors."""" and """"the performance is highly dependent on the demonstration quality, and most trained agents are limited to perform well in task-specific environments.",1,1,"In this survey, we provide a systematic review on imitation learning. We first introduce the background knowledge from development history and preliminaries, followed by presenting different taxonomies within Imitation Learning and key milestones of the field.",1,1,"In this survey, we provide a systematic review on imitation learning.",0,0,None.,1,0,None.,1,0,None.,1,0,None.,1,0,None.,1,0,None.,1,0,None.,1,0,None.,1,
2106.12936,0.7,HMMs are flexible tools for clustering dependent data coming from unknown populations.,0,0.75,We study the frontier between learnable and unlearnable hidden Markov models (HMMs).,1,0.85,"For a chain with two hidden states we prove nonasymptotic minimax upper and lower bounds, matching up to constants, which exhibit thresholds at which the parameters become learnable",0,0,N/A,1,0,N/A,1,0,N/A,1,0,N/A,1,0.6,We also provide an upper bound on the relative entropy rate for parameters in a neighbourhood of the unlearnable region which may have interest in itself.',0,0,N/A,1,0,N/A,1,0,N/A,1,
2106.13823,1,Quantum machine learning is an emerging field at the intersection of machine learning and quantum computing.,0,1,"In this paper, we present one operational interpretation of this quantity, that the quantum cross entropy...",1,1,"we give a simple, universal quantum data compression protocol, which is developed based on quantum generalization of variable-length coding, as well as quantum strong typicality",0,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,
2107.01131,1,"Successful applications of InfoNCE and its variants have popularized the use of contrastive variational mutual information (MI) estimators in machine learning. While featuring superior stability, these estimators crucially depend on costly large-batch training, and they sacrifice bound tightness for variance reduction.",1,1,"To overcome these limitations, we revisit the mathematics of popular variational MI bounds from the lens of unnormalized statistical modeling and convex optimization. Our investigation not only yields a new unified theoretical framework encompassing popular variational MI bounds but also leads to a novel, simple, and powerful contrastive MI estimator named as FLO.",1,1,"To overcome these limitations, we revisit the mathematics of popular variational MI bounds from the lens of unnormalized statistical modeling and convex optimization.",0,0,,1,0,,1,0,,1,0,,1,1,"Empirically, our FLO estimator overcomes the limitations of its predecessors and learns more efficiently.",0,0,,1,0,,1,0.5,The utility of FLO is verified using an extensive set of benchmarks',0,
2108.09779,1,We present a system for learning a challenging dexterous manipulation task involving moving a cube to an arbitrary 6-DoF pose with only 3-fingers trained with NVIDIA's IsaacGym simulator.,1,1,"We show empirical benefits, both in simulation and sim-to-real transfer, of using keypoints as opposed to position+quaternion representations for the object pose in 6-DoF for policy observations and in reward calculation to train a model-free reinforcement learning agent.",1,1,"By utilizing domain randomization strategies along with the keypoint representation of the pose of the manipulated object, we achieve a high success rate.",0,0,Not Found,1,0,Not Found,1,0,Not Found,1,0,Not Found,1,1,we achieve a high success rate of 83% on a remote TriFinger system maintained by the organizers of the Real Robot Challenge.,0,1,"we make the codebase of our system, along with trained checkpoints that come with billions of steps of experience available, at https://s2r2-ig.github.io",1,0,Not Found,1,0,Not Found,1,
2109.01372,0.9,This work explores the effect of noisy sample selection in active learning strategies.,1,0.8,that knowledge of the sample noise can significantly improve the performance of active learning strategies.,1,0.7,"Building on prior work, we propose a robust sampler, Incremental Weighted K-Means",1,0.7,We hope that the questions raised in this paper are of interest to the community and could open new paths for active learning research.,0,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,
