paper,,paper_url,notes,empirical_dataset,code_avail_article,code_avail_article_desc,code_avail_url,pwc_link_avail,pwc_link_match,pwc_link_desc,result_replication_code_avail,code_language,package,wrapper_scripts,wrapper_scripts_desc,hardware_specifications,software_dependencies,software_dependencies_desc,will_it_reproduce,will_it_reproduce_desc,parsed_readme,problem,problem_desc,objective,objective_desc,research_method,research_method_desc,research_questions,research_questions_desc,pseudocode,pseudocode_desc,dataset,dataset_desc,hypothesis,hypothesis_desc,prediction,experiment_setup,experiment_setup_desc
2010.04261,https://arxiv.org/pdf/2010.04261.pdf,https://arxiv.org/pdf/2010.04261.pdf,72 page review,,0,,,0,0,,,,,0,,,0,,,,,0,Towards this goal,0,,0,,0,,0,,0,,0,,0,1,Detailed Experiment Setup
2010.04855,https://arxiv.org/pdf/2010.04855.pdf,https://arxiv.org/pdf/2010.04855.pdf,"Review, mentions r package for sone of the simulations",,0,"Not fully, rcausal package, uses default code from one of the references",,0,0,,,R?,,0,,,0,,0,,,0,,0,,0,,0,,0,,1,We use the dataset published by [26],0,,0,0,
2011.11576,https://arxiv.org/pdf/2011.11576.pdf,https://arxiv.org/pdf/2011.11576.pdf,,Some are available in the repo.,1,Yes,https://github.com/jpbrooks/conjecturing,1,0,"Yes, but original repo, not the fork (Official Code)",,Sage,1,1,"sage package, has instructions on load (says in readme)",1,0,Not sure,0,"Too many results and not enough code, somewhat subjective",,1,,0,,0,,0,,1,"Called ""Algorithm 1, 2..""",1,Dataset references,1,Hypotheses,0,1,Experimental setup
2012.09302,https://arxiv.org/pdf/2012.09302.pdf,https://arxiv.org/pdf/2012.09302.pdf,Good! Python package. Well documented and seems reproducible,"CIFAR, ImageNet, GTSRB, VGGFace; Their paper reproduction seems like it can automate everything",1,Yes,https://github.com/ain-soph/trojanzoo,1,1,"Yes, same repo (Official Code)",1,,1,1,setup.py,,1,requirements.txt,1,,readme_install,0,,0,,0,,1,RQ_1,0,,1,"Details in experimental setup. CIFAR,  ImageNet..",0,,0,1,Experimental Setting
2101.07354,https://arxiv.org/pdf/2101.07354.pdf,https://arxiv.org/pdf/2101.07354.pdf,"Implements and compares algs from 2 papers, no code in the paper itself",,0,,,0,0,,,,,0,,,0,,,,,0,,0,,0,,0,,0,,1,We refer interested readers to the references above for more detailed information about the three realworld network datasets.,0,,0,1,APPLICATIONS TO REAL-WORLD NETWORKS
2102.11887,https://arxiv.org/pdf/2102.11887.pdf,https://arxiv.org/pdf/2102.11887.pdf,Math,,0,,,0,0,,,,,0,,,0,,,,,0,,0,,0,,0,,1,,0,,1,"Proposition 1, 2",0,0,
2104.11893,https://arxiv.org/pdf/2104.11893.pdf,https://arxiv.org/pdf/2104.11893.pdf,Seems runnable but not well documented,Available in repo,1,"Link found from their ""main"" paper",https://github.com/jingweio/LGD-GCN,1,1,"Yes, same repo (Community Code)",1,Python,,0,,,0,,,,,0,,0,,0,,0,,1,"Called ""Algorithm 1, 2..""",1,"Datasets Cora, Citeseer, and Pubmed are three citation benchmark networks widely used in",0,,0,1,Experimental Setting
2104.12546,https://arxiv.org/pdf/2104.12546.pdf,https://arxiv.org/pdf/2104.12546.pdf,Some model params described but no code,"One of the datasets available on github, other is in a reference.",0,,,0,0,,,,,0,,,0,,,,,1,The problem addressed in this paper is a supervised learning problem.,0,,0,,0,,0,,1,Some datasets cited in refs,0,,0,1,Empirical Study
2105.01099,https://arxiv.org/pdf/2105.01099.pdf,https://arxiv.org/pdf/2105.01099.pdf,"Review article, no code",,0,,,0,0,,,,,0,,,0,,,,,1,We describe the research problems associated,0,,0,,0,,0,,0,,0,,0,0,
2105.01937,https://arxiv.org/pdf/2105.01937.pdf,https://arxiv.org/pdf/2105.01937.pdf,"Good! Has conda, and commands for models in paper",Data and checkpoints available in a Gdrive link on github.,1,Link in abstract,https://github.com/BrianG13/FLEX,1,1,"Yes, same repo (Official Code)",1,python,0,1,"train.py, evaluate_multiview.py",,1,"requirements.txt, 
environment.yml ",1,,readme_requirements,0,,0,,0,,0,,0,,1,In supplementary material section - More information and access to raw data are provided on the dataset webpage: https://vision.imar.ro/human3.6m/,0,,0,1,Experiments and evaluation
2105.15197,https://arxiv.org/pdf/2105.15197.pdf,https://arxiv.org/pdf/2105.15197.pdf,Math and proofs,,0,,,0,0,,,,,0,,,0,,,,,0,,1,The goal of this paper is to ,0,,0,,0,,0,,1,Assumption 3.1,0,0,
2106.01528,https://arxiv.org/pdf/2106.01528.pdf,https://arxiv.org/pdf/2106.01528.pdf,Has many other github links to refs,They have a script to download data from a different source in repo,1,Link in footnotes,https://github.com/dereklhansen/flowselect,1,1,"Yes, same repo (Official Code)",1,python,,1,main.py,,1,pyproject.toml,1,Partially,,0,,0,,1,Methodology section,0,,1,"Called ""Algorithm 1, 2..""",1,Feature datasets section,0,,0,1,"Experiments section, experimental setting"
2106.03157,https://arxiv.org/pdf/2106.03157.pdf,https://arxiv.org/pdf/2106.03157.pdf,Good! Replicate.com link. Colab & binder. Has other github links,Data in cited github repo,1,Link in code & data section,https://github.com/kyo-takano/EfficientCube,1,1,"Yes, same repo (Official Code)",1,python,,0,"Each in its own notebook, readme has instructions",,1,requirements.txt,1,,,1,Problem is to solve a Rubiks cube - in  abstract but vague in terms of keyword matching,1,Related Work section,1,Proposed Method section,0,,1,"Called ""Algorithm 1, 2..""",1,"We utilize the publicly available DeepCubeA dataset on Code Ocean2,",0,,0,1,Experiment section
2106.03725,https://arxiv.org/pdf/2106.03725.pdf,https://arxiv.org/pdf/2106.03725.pdf,No code or data released,They use a standard dataset ModelNet,0,,,0,0,,,,,0,,,0,,,,,0,,1,In this work our goal is to identify the CAD,0,,0,,0,,1,We evaluate our MNN stability results on the Model-Net10 [41] classification problem.,1,"Proposition 1, 2",0,1,Numerical Experiments section
2106.06927,https://arxiv.org/pdf/2106.06927.pdf,https://arxiv.org/pdf/2106.06927.pdf,,They use standard datasets,1,Link in introduction footnotes,https://github.com/renanrojasg/adv_robust_autoencoder,1,1,"Yes, same repo (Official Code)",1,python,,1,scripts/,,1,"conda_reqs.txt, pip_reqs.txt",1,Partially,readme_requirements,0,,0,,1,Proposed Method section,0,,0,,1,"Standard datasets - CIFAR, ImageNet",0,,0,1,Multiple Experimental Setup sections for each technique
2106.07704,https://arxiv.org/pdf/2106.07704.pdf,https://arxiv.org/pdf/2106.07704.pdf,They have instructions for each experiment run,From huggingface,1,Link in introduction footnotes,https://github.com/HanGuo97/soft-Q-learning-for-text-generation,1,1,"Yes, same repo (Official Code)",1,python,,1,"Dockerfile, run_experiments.py",,1,requirements.txt,1,,readme_setup,1,,0,,0,,0,,1,"Called ""Algorithm 1, 2..""",1,"We sub-sampled 50k training examples from the SNLI dataset (Bowman et al., 2015),",0,"Note that hypothesis and hypotheses are words that are part of the work: (premise, hypothesis) sentence pairs,",0,1,Applications and Experiments sections
2106.10898,https://arxiv.org/pdf/2106.10898.pdf,https://arxiv.org/pdf/2106.10898.pdf,No code released,Links to datasets in footnootes (references). Not a central repo,0,,,0,0,,,,,0,,,0,,,,,1,"To address the aforementioned problems,",0,,1,Methodologies section/chapter,0,,0,,1,"Dataset. For this experiment, the personalization dataset3 has",0,,0,1,Experiments and Implementation section
2106.12177,https://arxiv.org/pdf/2106.12177.pdf,https://arxiv.org/pdf/2106.12177.pdf,Theory paper,,0,,,0,0,,,,,0,,,0,,,,,0,,0,,1,MAIN RESEARCH TOPICS AND METHODS section,0,,1,"Called ""Algorithm 1, 2..""",0,,0,,0,0,
2106.12936,https://arxiv.org/pdf/2106.12936.pdf,https://arxiv.org/pdf/2106.12936.pdf,Math and proofs,,0,,,0,0,,,,,0,,,0,,,,,0,,0,,0,,0,,0,,0,,0,,0,0,
2106.13823,https://arxiv.org/pdf/2106.13823.pdf,https://arxiv.org/pdf/2106.13823.pdf,Theory paper,,0,,,0,0,,,,,0,,,0,,,,,0,,0,,0,,0,,0,,0,,0,,0,0,
2107.01131,https://arxiv.org/pdf/2107.01131.pdf,https://arxiv.org/pdf/2107.01131.pdf,"Code inside a zip file in repo. Most sections are ""to be updated""","""to be updated in repo""",1,Link in experiments section,https://github.com/qingguo666/FLO,1,1,"Yes, same repo (Official Code)",1,python,,0,Incomplete repo (says to be updated),,0,Incomplete repo (says to be updated),0,,readme_dependencies,0,,0,,0,,0,,1,"Called ""Algorithm 1, 2..""",0,,0,,0,1,Experiments section
2108.09779,https://arxiv.org/pdf/2108.09779.pdf,https://arxiv.org/pdf/2108.09779.pdf,Their link in the abstract is a github.io link (actual github link not in paper). Papers with code does not point to the right one (points to their reference/previous work).,Not needed? RL Gym library,1,Link in abstract: https://s2r2-ig.github.io/. Actual repo in https://github.com/pairlab/leibnizgym/,https://github.com/pairlab/leibnizgym/,1,0,"Yes, different repo/previous work (Official Code) https://github.com/Denys88/rl_games",0,python,1,1,scripts/rlg_hydra.p,GPU mentioned,1,setup.py (package),1,Partially,readme_install,1,,0,,1,Methods section,1,"In our experiments, we aim to answer the following four questions",0,,1,EGAD dataset,0,,0,1,Experiments section
2109.01372,https://arxiv.org/pdf/2109.01372.pdf,https://arxiv.org/pdf/2109.01372.pdf,Good! Scripts to reproduce plots and experiments,Standard datasets but also included in repo,1,Links in experiments section,https://github.com/dataiku-research/sample_noise_impact_on_active_learning,1,1,"Yes, same repo. (Two links but both redirec to the same directory. (Official Code)",1,,,1,"plots.py, run.py",,1,pip install cardinal in readme,1,,readme_dependencies,0,,0,,0,,0,,1,"Called ""Algorithm 1, 2..""",1,"Standard datasets - CIFAR, MNIST, Fashion",1,We hypothesize that this side-effect of diversity contributes to its success,0,1,Experiments section
2109.12784,https://arxiv.org/pdf/2109.12784.pdf,https://arxiv.org/pdf/2109.12784.pdf,Good! Script to run all experiments,"Modifid versiosn of standard datasets (MNIST, EMNIST). They have scripts to automate the transforms.",1,Link in Experimental evaluation section,https://github.com/tliu1997/TI-SVM/,1,1,"Yes, same repo (Official Code)",1,python,,1,main.py,,1,Typed out in readme,1,,readme_dependencies,1,Motivated by the problem of learning with,0,,0,,0,,0,,1,"Standard datasets - CIFAR, MNIST, Fashion",0,,0,0,Details of Experimental evaluation section
2110.02343,https://arxiv.org/pdf/2110.02343.pdf,https://arxiv.org/pdf/2110.02343.pdf,Theory paper,,0,,,0,0,,,,,0,,,0,,,,,0,,0,,0,,0,,1,"Called ""Algorithm 4.1..""",0,,0,,0,0,
2110.02474,https://arxiv.org/pdf/2110.02474.pdf,https://arxiv.org/pdf/2110.02474.pdf,No code or data released,,0,,,0,0,,,,,0,,,0,,,,,0,,0,,0,,0,,0,,0,,0,,0,1,Experiments section
2110.03135,https://arxiv.org/pdf/2110.03135.pdf,https://arxiv.org/pdf/2110.03135.pdf,No code or data released,Standard datasets (CIFAR..) which are not modified,0,"""Code and data are proprietary"". Model is explained in detail with hyperparmeters for each experiment.",,0,0,,,,,0,,GPU mentioned,0,,,,,0,,0,,0,"summary, our findings and contributions are: 1) we show that the labeling of adversarial examples in adversarial training practice introduces label noise implicitly; 2)",0,,0,,1,"Standard datasets - CIFAR, MNIST, Fashion",0,,0,1,Experiment setup section
2110.05169,https://arxiv.org/pdf/2110.05169.pdf,https://arxiv.org/pdf/2110.05169.pdf,,None released. RL library,1,Link in footnotes of introduction,https://github.com/facebookresearch/salina/tree/main/salina_examples/rl/subspace_of_policies,1,0,"Yes, same repo but links to the base directory (package) and not to the examples in the paper",1,python,1,0,,,1,"requirements.txt, setup.py",1,Partially,readme_dependencies,0,,0,,0,,0,,1,"Called ""Algorithm 1, 2..""",0,,0,,0,1,EXPERIMENTS section
2110.08255,https://arxiv.org/pdf/2110.08255.pdf,https://arxiv.org/pdf/2110.08255.pdf,Good! Has main script to get data and run experiments,data_loader.py in repo with transformations,1,Link in experimental setup section,https://github.com/18kiran12/Yformer-Time-Series-Forecasting,1,1,"Yes, same repo (Official Code)",1,python,,1,main_yformer.py,GPU mentioned,1,requirements.txt,1,,readme_dependencies,1,Problem Formulation section,0,,1,Methodology section,0,,1,"Called ""Algorithm 1, 2..""",1,three real-world public datasets. ETTh1 and ETTh2 (Electricity Transformer Temperature3): These realworld datasets for the electric power deployment introduced by [35] combine,0,,0,1,Experiments section
2110.08432,https://arxiv.org/pdf/2110.08432.pdf,https://arxiv.org/pdf/2110.08432.pdf,"Their code and data not released, only links to methods they compared",,0,,,0,0,,,,,0,,,0,,,,,1,"To address this problem, we propose Adjoint MAML (A-MAML).",0,,0,,0,,1,"Called ""Algorithm 1, 2..""",1,"Third, we examined our approach in three real-world applications of collaborative filtering. To this end, we used the following datasets. (1) Jester-1(https://goldberg.berkeley.edu/ jester-data/) (Goldberg et al., 2001), which are about joke ratings",0,,0,1,Experiments section
2110.09902,https://arxiv.org/pdf/2110.09902.pdf,https://arxiv.org/pdf/2110.09902.pdf,,,1,Link in the last section,https://github.com/tenghuilee/nnvolterra,1,1,"Yes, same repo (Community Code)",1,python and C++,,1,MAKEFILE,MAKEFILE,0,Listed in readme,1,,readme_dependencies,0,,0,,0,"In summary, the main contribution of this paper include:  We proposed two methods to infer the proxy kernels.",0,,0,,1,MNIST,0,,0,0,
2110.11688,https://arxiv.org/pdf/2110.11688.pdf,https://arxiv.org/pdf/2110.11688.pdf,,Have a jupyter notebook to download and process datasets,1,Link in experiments and supplementary sections,https://gitlab.inria.fr/pmangold1/private-coordinate-descent/,0,0,No,1,Python and C++,,1,experiments.py,experiments.py,1,CMakeLists.txt,1,,,1,,0,,0,,0,,1,"Called ""Algorithm 1, 2..""",1,"In this section, we assess the practical performance of DP-CD against (proximal) DP-SGD on LASSO4 and `2-regularized logistic regression5. On the latter problem, we also consider the dual private coordinate descent algorithm of Damaskinos et al. (2021) (DP-SCD). For LASSO, we use the California dataset (Kelley Pace and Barry, 1997), with n = 20; 640 records and p = 8 features as well as a synthetic dataset",0,,0,1,Numerical Experiments section
2110.14241,https://arxiv.org/pdf/2110.14241.pdf,https://arxiv.org/pdf/2110.14241.pdf,"Their code and data not released, only links to repos of references they used",,0,,,0,0,,,,,0,,,0,,,,,0,,1,Since our objective is for the agents to learn robust protocols that,0,,0,,1,"Called ""Algorithm 1, 2..""",1,compute the referential accuracy using images from the Flickr8k dataset [17],1,We hypothesize that a potential bottleneck of this and related approaches lies in the use of static populations,0,1,Experiments and Results section
2111.02997,https://arxiv.org/pdf/2111.02997.pdf,https://arxiv.org/pdf/2111.02997.pdf,Code for the specific paper is in a different branch. Linked repo is contains all of his research,Data upon request,1,Link to main repo in Experiments section: ,https://github.com/ShangtongZhang/DeepRL,1,1,"Yes, same repo (Official Code)",1,python,0,1,"examples.py, Dockerfile",,1,requirements.txt,0,,readme_dependencies,0,,0,,0,,1,"In particular, we are interested in the following three questions",0,,0,,0,,0,1,Experiments section
2111.03664,https://arxiv.org/pdf/2111.03664.pdf,https://arxiv.org/pdf/2111.03664.pdf,"Their code and data not released, only GH links to methods they used",,0,,,0,0,,,,,0,,,0,,,,,0,,0,,0,,0,,0,,1,"As training datasets, we used the two most popular datasets: MJSynth [56] and SynthText [57].",0,,0,1,EXPERIMENTAL SETTINGS section
2111.08356,https://arxiv.org/pdf/2111.08356.pdf,https://arxiv.org/pdf/2111.08356.pdf,"Their code and data not released, only links to methods implemented",,0,,,0,0,,,,,0,,,0,,,,,1,"We propose a novel approach to this problem,",0,,0,,0,,1,"Called ""Algorithm 1, 2..""",1,Standard datasets - CIFAR,0,,0,1,Experiments section
2111.12673,https://arxiv.org/pdf/2111.12673.pdf,https://arxiv.org/pdf/2111.12673.pdf,Good! Scripts to reproduce experiments with seeds,None,1,Link in footnotes of Introduction: ,https://github.com/nicolinho/acc,1,1,"Yes, same repo (Official Code)",1,python,,1,run_experiment.sh,,0,pip install command with versions in readme pip install gym==0.17.2 mujoco-py==1.50.1.68 numpy==1.19.1 torch==1.6.0 torchvision==0.7.0,1,,readme_install,1,To overcome these problems we propose a principled,0,,0,,0,,1,PSEUDOCODE section,0,,1,we hypothesize there,0,1,Experiments section
2111.15449,https://arxiv.org/pdf/2111.15449.pdf,https://arxiv.org/pdf/2111.15449.pdf,"Readme in chinese, no instructions. Seems easy to reproduce though","Standard datasets, their script contains transformations & download",1,Link in abstract,https://github.com/tianyuzu/pod-loss,1,1,"Yes, same repo (Official Code)",1,python,,1,train.py,,0,,1,,,0,,0,,1,Method section,0,,0,,1,"Standard datasets - CIFAR, ImageNet",0,,0,1,Experiments and Results section
2112.00016,https://arxiv.org/pdf/2112.00016.pdf,https://arxiv.org/pdf/2112.00016.pdf,Should be very easy to reproduce,Zip file in repo,1,Link in appendix/bib,https://github.com/JessRachel97/Knots_across_dims,1,1,"Yes, same repo (Official Code)",1,python,,1,learning.py,,0,,1,,readme_setup,0,,0,The purpose of,0,,0,,0,,1,In zip file inside repo,0,,0,1,Experiments section
2112.03432,https://arxiv.org/pdf/2112.03432.pdf,https://arxiv.org/pdf/2112.03432.pdf,No code or data released,,0,,,0,0,,,,,0,,,0,,,,,0,,0,,0,,0,,1,,0,,0,,0,0,
2112.04871,https://arxiv.org/pdf/2112.04871.pdf,https://arxiv.org/pdf/2112.04871.pdf,Commands to reproduce experiments in readme.,In repo,0,Link in abstract,https://github.com/wentao-xu/kge-cl,1,1,"Yes, same repo but also has another link to an older version of their model (Official Code)",1,python,,1,"learn.py, process_datasets.py",,0,Listed in readme,1,,readme_dependencies,1,"To address this problem, we propose",0,,1,Our Method section,0,,0,,1,Inside repo,0,,0,1,Exeprimental Setting section (mispelled)
,Totals,,,,22,,,22,19,,20,,,18,,,14,,18,,,15,,4,,10,,3,,22,,31,,8,,0,37,
