paper_id,evaluation_type,source_file,gpt_problem,gpt_problem_description,problem_agreement,gpt_objective,gpt_objective_description,objective_agreement,gpt_research_method,gpt_research_method_description,research_method_agreement,gpt_research_questions,gpt_research_questions_description,research_questions_agreement,gpt_pseudocode,gpt_pseudocode_description,pseudocode_agreement,gpt_dataset,gpt_dataset_description,dataset_agreement,gpt_hypothesis,gpt_hypothesis_description,hypothesis_agreement,gpt_prediction,gpt_prediction_description,prediction_agreement,gpt_code_available,gpt_code_available_description,code_available_agreement,gpt_software_dependencies,gpt_software_dependencies_description,software_dependencies_agreement,gpt_experiment_setup,gpt_experiment_setup_description,experiment_setup_agreement
2010.04855,agreement_gpt,abstract_gpt_agreement_with_manual.csv,True,"We propose estimators based on kernel ridge regression for nonparametric causal functions such as dose, heterogeneous, and incremental response curves.",True,True,"We propose estimators based on kernel ridge regression for nonparametric causal functions such as dose, heterogeneous, and incremental response curves",True,True,"Due to a decomposition property specific to the RKHS, our estimators have simple closed form solutions. We prove uniform consistency with finite sample rates via original analysis of generalized kernel ridge regression",True,False,,True,False,,True,False,and conduct a policy evaluation of the US Job Corps training program for disadvantaged youths' (Indirect reference to a dataset used for policy evaluation),True,False,,True,False,,True,False,,True,False,,True,False,We prove uniform consistency with finite sample rates via original analysis of generalized kernel ridge regression.' (Indirect reference to the experimental setup which involves the original analysis of generalized kernel ridge regression).,True
2011.11576,agreement_gpt,abstract_gpt_agreement_with_manual.csv,True,We propose the use of a conjecturing machine that generates feature relationships in the form of bounds involving nonlinear terms for numerical features and boolean expressions for categorical features.,True,True,The proposed \textsc{Conjecturing} framework recovers known nonlinear and boolean relationships among features from data.,True,True,We propose the use of a conjecturing machine that...generates feature relationships in the form of bounds involving nonlinear terms for numerical features and boolean expressions for categorical features.,True,False,,True,False,,True,True,The framework is then applied to patient-level data regarding COVID-19 outcomes...,False,False,,True,True,"We then compare the method to a previously-proposed framework for symbolic regression and demonstrate that it can also be used to recover equations...', 'The framework is then applied to patient-level data regarding COVID-19 outcomes to suggest possible risk factors that are confirmed in medical literature.'",False,False,,True,False,,True,False,,True
2012.09302,agreement_gpt,abstract_gpt_agreement_with_manual.csv,True,Neural backdoors represent one primary threat to the security of deep learning systems.,True,True,"To bridge this gap, we design and implement TROJANZOO, the first open-source platform for evaluating neural backdoor attacks/defenses in a unified, holistic, and practical manner",True,True,"Leveraging TROJANZOO, we conduct a systematic study on the existing attacks/defenses, unveiling their complex design spectrum: both manifest intricate trade-offs among multiple desiderata (e.g., the effectiveness, evasiveness, and transferability of attacks).",True,False,Not provided,False,False,Not provided,True,False,Not provided,True,False,Not provided,True,False,"We further explore improving the existing attacks/defenses, leading to a number of interesting findings",True,True,"TROJANZOO, the first open-source platform for evaluating neural backdoor attacks/defenses in a unified, holistic, and practical manner.",True,False,Not provided,True,True,"Focusing on the computer vision domain, it has incorporated 8 representative attacks, 14 state-of-the-art defenses, 6 attack performance metrics, 10 defense utility metrics, as well as rich tools for in-depth analysis of the attack-defense interactions.",False
2101.07354,agreement_gpt,abstract_gpt_agreement_with_manual.csv,True,"Random-walk based network embedding algorithms like DeepWalk and node2vec are widely used to obtain Euclidean representation of the nodes in a network prior to performing downstream inference tasks. However, despite their impressive empirical performance, there is a lack of theoretical results explaining their large-sample behavior",True,True,"In this paper, we study node2vec and DeepWalk through the perspective of matrix factorization.",True,True,"Specifically, as the network becomes sparser, our results guarantee that with large enough window size and vertices number, applying $K$-means/medians on the matrix factorization-based node2vec embeddings can, with high probability, correctly recover the memberships of all vertices in a network generated from the stochastic blockmodel (or its degree-corrected variants).",True,False,,True,False,Not directly mentioned,True,True,"The theoretical justifications are mirrored in the numerical experiments and real data applications, for both the original node2vec and its matrix factorization variant.",False,False,Not explicitly mentioned,True,True,"By exploiting the row-wise uniform perturbation bound for leading singular vectors, we derive high-probability error bounds between the matrix factorization-based node2vec/DeepWalk embeddings and their true counterparts, uniformly over all node embeddings.",False,False,Not mentioned,True,False,Not mentioned directly,True,True,"Based on strong concentration results, we further show the perfect membership recovery by node2vec/DeepWalk, followed by $K$-means/medians algorithms. Specifically, as the network becomes sparser, our results guarantee that with large enough window size and vertices number, applying $K$-means/medians on the matrix factorization-based node2vec embeddings can, with high probability, correctly recover the memberships of all vertices in a network generated from the stochastic blockmodel (or its degree-corrected variants).",False
2102.11887,agreement_gpt,abstract_gpt_agreement_with_manual.csv,True,"Based on strong concentration results, we further show the perfect membership recovery by node2vec/DeepWalk, followed by $K$-means/medians algorithms. Specifically, as the network becomes sparser, our results guarantee that with large enough window size and vertices number, applying $K$-means/medians on the matrix factorization-based node2vec embeddings can, with high probability, correctly recover the memberships of all vertices in a network generated from the stochastic blockmodel (or its degree-corrected variants).",True,True,"We conclude that to achieve the goal of full quantum machine learning, it is crucial to utilize the deferred measurement principle",True,True,"We define its quantum generalization, the quantum cross entropy, prove its lower bounds, and investigate its relation to quantum fidelity",True,False,,True,False,,True,False,,True,False,,True,False,These two different scenarios illustrate the information loss when making quantum measurements.,True,False,,True,False,,True,False,,True
2104.11893,agreement_gpt,abstract_gpt_agreement_with_manual.csv,True,"Disentangled Graph Convolutional Network (DisenGCN) is an encouraging framework to disentangle the latent factors arising in a real-world graph. However, it relies on disentangling information heavily from a local range (i.e., a node and its 1-hop neighbors), while the local information in many cases can be uneven and incomplete, hindering the interpretabiliy power and model performance of DisenGCN",True,True,"In this paper, we introduce a novel Local and Global Disentangled Graph Convolutional Network (LGD-GCN) to capture both local and global information for graph disentanglement",True,True,"LGD-GCN performs a statistical mixture modeling to derive a factor-aware latent continuous space, and then constructs different structures w.r.t. different factors from the revealed space.",True,False,,True,False,,True,False,Evaluations of the proposed LGD-GCN on the synthetic and real-world datasets,True,False,,True,False,,True,False,,True,False,,True,False,,True
2104.12546,agreement_gpt,abstract_gpt_agreement_with_manual.csv,True,"The COVID-19 pandemic considerably affects public health systems around the world. The lack of knowledge about the virus, the extension of this phenomenon, and the speed of the evolution of the infection are all factors that highlight the necessity of employing new approaches to study these events.",True,True,The aim of this work is to investigate any possible relationships between air quality and confirmed cases of COVID-19 in Italian districts.,True,True,"Specifically, we report an analysis of the correlation between daily COVID-19 cases and environmental factors, such as temperature, relative humidity, and atmospheric pollutants.",False,False,,True,False,,True,False,,True,True,Our analysis confirms a significant association of some environmental parameters with the spread of the virus.,True,True,This suggests that machine learning models trained on the environmental parameters to predict the number of future infected cases may be accurate.,False,False,,True,False,,True,True,"Specifically, we report an analysis of the correlation between daily COVID-19 cases and environmental factors, such as temperature, relative humidity, and atmospheric pollutants",False
2105.01099,agreement_gpt,abstract_gpt_agreement_with_manual.csv,True,"Several core challenges are to continue to be tackled: model complexity, agent coordination, and joint optimization of multiple levers",True,True,"In this paper, we present a comprehensive, in-depth survey of the literature on reinforcement learning approaches to decision optimization problems in a typical ridesharing system.",True,True,"In this paper, we present a comprehensive, in-depth survey of the literature...",False,False,,True,False,,True,True,we also introduce popular data sets and open simulation environments to facilitate further research and development.,False,False,,True,False,,True,False,,True,False,,True,False,,True
2105.01937,agreement_gpt,abstract_gpt_agreement_with_manual.csv,True,"The increasing availability of video recordings made by multiple cameras has offered new means for mitigating occlusion and depth ambiguities in pose and motion reconstruction methods. Yet, multi-view algorithms strongly depend on camera parameters; particularly, the relative transformations between the cameras. Such a dependency becomes a hurdle once shifting to dynamic capture in uncontrolled settings.",True,True,"We introduce FLEX (Free muLti-view rEconstruXion), an end-to-end extrinsic parameter-free multi-view model.",True,True,"""Our network takes multiple video streams, learns fused deep features through a novel multi-view fusion layer, and reconstructs a single consistent skeleton with temporally coherent joint rotations.",False,False,,True,False,,True,True,"""We demonstrate quantitative and qualitative results on three public datasets, and on synthetic multi-person video streams captured by dynamic cameras.",True,False,,True,False,"We compare our model to state-of-the-art methods that are not ep-free and show that in the absence of camera parameters, we outperfom them by a large margin while obtaining comparable results when camera parameters are available.",False,True,"Code, trained models, and other materials are available on our project page.",True,False,,True,True,"We compare our model to state-of-the-art methods that are not ep-free and show that in the absence of camera parameters, we outperfom them by a large margin while obtaining comparable results when camera parameters are available.",False
2105.15197,agreement_gpt,abstract_gpt_agreement_with_manual.csv,True,"Debiased machine learning is a meta algorithm based on bias correction and sample splitting to calculate confidence intervals for functionals, i.e. scalar summaries, of machine learning algorithms.",True,True,"'For example, an analyst may desire the confidence interval for a treatment effect estimated with a neural network.",False,True,"We provide a nonasymptotic debiased machine learning theorem that encompasses any global or local functional of any machine learning algorithm that satisfies a few simple, interpretable conditions.",False,False,,True,False,,True,False,,True,False,"The rate of convergence is $n^{-1/2}$ for global functionals, and it degrades gracefully for local functionals.",False,False,,True,False,,True,False,,True,True,"Formally, we prove consistency, Gaussian approximation, and semiparametric efficiency by finite sample arguments.",False
2106.01528,agreement_gpt,abstract_gpt_agreement_with_manual.csv,True,Controlled feature selection aims to discover the features a response depends on while limiting the false discovery rate (FDR),True,True,We propose a new procedure called FlowSelect to perform controlled feature selection that does not suffer from either of these two problems.,True,True,"To more accurately model the features, FlowSelect uses normalizing flows, the state-of-the-art method for density estimation. Instead of enforcing the """"swap"""" property, FlowSelect uses a novel MCMC-based procedure to calculate p-values for each feature directly.",False,False,,True,False,,True,True,"'Empirically, FlowSelect consistently controls the FDR on both synthetic and semi-synthetic benchmarks, whereas competing knockoff-based approaches do not.",False,False,,True,True,"Empirically, FlowSelect consistently controls the FDR on both synthetic and semi-synthetic benchmarks, whereas competing knockoff-based approaches do not. FlowSelect also demonstrates greater power on these benchmarks.",False,False,,True,False,,True,True,"Empirically, FlowSelect consistently controls the FDR on both synthetic and semi-synthetic benchmarks, whereas competing knockoff-based approaches do not. FlowSelect also demonstrates greater power on these benchmarks.",False
2106.03157,agreement_gpt,abstract_gpt_agreement_with_manual.csv,True,Existing combinatorial search methods are often complex and require some level of expertise.,True,True,"This work introduces a simple and efficient deep learning method for solving combinatorial problems with a predefined goal, represented by Rubik's Cube.'",True,True,"We demonstrate that, for such problems, training a deep neural network on random scrambles branching from the goal state is sufficient to achieve near-optimal solutions.",False,False,,True,False,,True,False,,True,False,,True,True,"When tested on Rubik's Cube, 15 Puzzle, and 7$\times$7 Lights Out, our method outperformed the previous state-of-the-art method DeepCubeA, improving the trade-off between solution optimality and computational cost, despite significantly less training data",False,False,,True,False,,True,False,,True
2106.03725,agreement_gpt,abstract_gpt_agreement_with_manual.csv,True,The paper defines and studies manifold (M) convolutional filters and neural networks (NNs).,True,True,The main technical contribution of the paper is to analyze the stability of manifold filters and MNNs to smooth deformations of the manifold.,True,False,Not explicitly mentioned,True,False,Not explicitly mentioned,True,False,Not explicitly mentioned,True,False,Not explicitly mentioned,True,True,"manifold filters, same as graph filters and standard continuous time filters, have difficulty discriminating high frequency components in the presence of deformations.",False,False,Not explicitly mentioned,True,False,Not explicitly mentioned,True,False,Not explicitly mentioned,True,False,Not explicitly mentioned,True
2106.06927,agreement_gpt,abstract_gpt_agreement_with_manual.csv,True,"Despite unconditional feature inversion being the foundation of many image synthesis applications, training an inverter demands a high computational budget, large decoding capacity and imposing conditions such as autoregressive priors.",True,True,"To address these limitations, we propose the use of adversarially robust representations as a perceptual primitive for feature inversion.",True,True,"We train an adversarially robust encoder to extract disentangled and perceptually-aligned image representations, making them easily invertible",False,False,,True,False,,True,False,,True,False,,True,True,"By training a simple generator with the mirror architecture of the encoder, we achieve superior reconstruction quality and generalization over standard models.",False,False,,True,False,,True,True,"Based on this, we propose an adversarially robust autoencoder and demonstrate its improved performance on style transfer, image denoising and anomaly detection tasks.",False
2106.07704,agreement_gpt,abstract_gpt_agreement_with_manual.csv,True,"This paradigm relies on direct supervision examples, which is not applicable to many emerging applications, such as generating adversarial attacks or generating prompts to control language models.",False,True,"Reinforcement learning (RL) on the other hand offers a more flexible solution by allowing users to plug in arbitrary task metrics as reward."""" and """"In this paper, we introduce a new RL formulation for text generation from the soft Q-learning (SQL) perspective. It enables us to draw from the latest RL advances, such as path consistency learning, to combine the best of on-/off-policy updates, and learn effectively from sparse reward.",True,True,"soft Q-learning (SQL) perspective"""" and """"path consistency learning, to combine the best of on-/off-policy updates, and learn effectively from sparse reward",False,False,,True,False,,True,False,,True,False,,True,False,Experiments show our approach consistently outperforms both task-specialized algorithms and the previous RL methods.,True,False,,True,False,,True,True,"We apply the approach to a wide range of novel text generation tasks, including learning from noisy/negative examples, adversarial attacks, and prompt generation.",False
2106.10898,agreement_gpt,abstract_gpt_agreement_with_manual.csv,False,,False,True,"To address the aforementioned problems, a multi-armed bandit based collaborative filtering recommender system has been proposed, named BanditMF.",True,True,"a multi-armed bandit based collaborative filtering recommender system has been proposed, named BanditMF.",False,True,"(1) how to solve the cold start problem for collaborative filtering under the condition of scarcity of valid information, (2) how to solve the sub-optimal problem of bandit algorithms in strong social relations domains caused by independently estimating unknown parameters associated with each user and ignoring correlations between users",True,False,,True,False,,True,False,,True,False,,True,False,,True,False,,True,False,,True
2106.12177,agreement_gpt,abstract_gpt_agreement_with_manual.csv,True,"Imitation learning aims to extract knowledge from human experts' demonstrations or artificially created agents in order to replicate their behaviors."""" and """"the performance is highly dependent on the demonstration quality, and most trained agents are limited to perform well in task-specific environments.",True,True,"In this survey, we provide a systematic review on imitation learning. We first introduce the background knowledge from development history and preliminaries, followed by presenting different taxonomies within Imitation Learning and key milestones of the field.",True,True,"In this survey, we provide a systematic review on imitation learning.",False,False,None.,True,False,None.,True,False,None.,True,False,None.,True,False,None.,True,False,None.,True,False,None.,True,False,None.,True
2106.12936,agreement_gpt,abstract_gpt_agreement_with_manual.csv,True,HMMs are flexible tools for clustering dependent data coming from unknown populations.,False,True,We study the frontier between learnable and unlearnable hidden Markov models (HMMs).,True,True,"For a chain with two hidden states we prove nonasymptotic minimax upper and lower bounds, matching up to constants, which exhibit thresholds at which the parameters become learnable",False,False,,True,False,,True,False,,True,False,,True,True,We also provide an upper bound on the relative entropy rate for parameters in a neighbourhood of the unlearnable region which may have interest in itself.',False,False,,True,False,,True,False,,True
2106.13823,agreement_gpt,abstract_gpt_agreement_with_manual.csv,True,Quantum machine learning is an emerging field at the intersection of machine learning and quantum computing.,False,True,"In this paper, we present one operational interpretation of this quantity, that the quantum cross entropy...",True,True,"we give a simple, universal quantum data compression protocol, which is developed based on quantum generalization of variable-length coding, as well as quantum strong typicality",False,False,,True,False,,True,False,,True,False,,True,False,,True,False,,True,False,,True,False,,True
2107.01131,agreement_gpt,abstract_gpt_agreement_with_manual.csv,True,"Successful applications of InfoNCE and its variants have popularized the use of contrastive variational mutual information (MI) estimators in machine learning. While featuring superior stability, these estimators crucially depend on costly large-batch training, and they sacrifice bound tightness for variance reduction.",True,True,"To overcome these limitations, we revisit the mathematics of popular variational MI bounds from the lens of unnormalized statistical modeling and convex optimization. Our investigation not only yields a new unified theoretical framework encompassing popular variational MI bounds but also leads to a novel, simple, and powerful contrastive MI estimator named as FLO.",True,True,"To overcome these limitations, we revisit the mathematics of popular variational MI bounds from the lens of unnormalized statistical modeling and convex optimization.",False,False,,True,False,,True,False,,True,False,,True,True,"Empirically, our FLO estimator overcomes the limitations of its predecessors and learns more efficiently.",False,False,,True,False,,True,False,The utility of FLO is verified using an extensive set of benchmarks',False
2108.09779,agreement_gpt,abstract_gpt_agreement_with_manual.csv,True,We present a system for learning a challenging dexterous manipulation task involving moving a cube to an arbitrary 6-DoF pose with only 3-fingers trained with NVIDIA's IsaacGym simulator.,True,True,"We show empirical benefits, both in simulation and sim-to-real transfer, of using keypoints as opposed to position+quaternion representations for the object pose in 6-DoF for policy observations and in reward calculation to train a model-free reinforcement learning agent.",True,True,"By utilizing domain randomization strategies along with the keypoint representation of the pose of the manipulated object, we achieve a high success rate.",False,False,Not Found,True,False,Not Found,True,False,Not Found,True,False,Not Found,True,True,we achieve a high success rate of 83% on a remote TriFinger system maintained by the organizers of the Real Robot Challenge.,False,True,"we make the codebase of our system, along with trained checkpoints that come with billions of steps of experience available, at https://s2r2-ig.github.io",True,False,Not Found,True,False,Not Found,True
2109.01372,agreement_gpt,abstract_gpt_agreement_with_manual.csv,True,This work explores the effect of noisy sample selection in active learning strategies.,True,True,that knowledge of the sample noise can significantly improve the performance of active learning strategies.,True,True,"Building on prior work, we propose a robust sampler, Incremental Weighted K-Means",True,True,We hope that the questions raised in this paper are of interest to the community and could open new paths for active learning research.,False,False,,True,False,,True,False,,True,False,,True,False,,True,False,,True,False,,True
2109.12784,agreement_gpt,abstract_gpt_agreement_with_manual.csv,True,Motivated by the problem of learning with small sample sizes,True,True,this paper shows how to incorporate into support-vector machines (SVMs) those properties that have made convolutional neural networks (CNNs) successful.,True,True,Kernels based on the \textit{maximum} similarity over a group of transformations are not generally positive definite. Perhaps it is for this reason that they have not been studied theoretically. We address this lacuna,False,False,,True,False,,True,True,We verify through experiments on widely available image sets,True,True,"We address this lacuna and show that positive definiteness indeed holds \textit{with high probability} for kernels based on the maximum similarity in the small training sample set regime of interest, and that they do yield the best results in that regime",False,True,We verify through experiments on widely available image sets that the resulting SVMs do provide superior accuracy in comparison to well-established deep neural network benchmarks for small sample sizes,False,False,,True,False,,True,True,"We address this lacuna and show that positive definiteness indeed holds \textit{with high probability} for kernels based on the maximum similarity in the small training sample set regime of interest, and that they do yield the best results in that regime. We also show how additional properties such as their ability to incorporate local features at multiple spatial scales, e.g., as done in CNNs through max pooling, and to provide the benefits of composition through the architecture of multiple layers, can also be embedded into SVMs.",True
2110.02343,agreement_gpt,abstract_gpt_agreement_with_manual.csv,True,"There are two persistent challenges in classical machine learning: the lack of labeled data, and the limit of computational power.",True,True,We propose a novel framework that resolves both issues: quantum semi-supervised learning.,True,True,"Moreover, we provide a protocol in systematically designing quantum machine learning algorithms with quantum supremacy, which can be extended beyond quantum semi-supervised learning",True,False,,True,False,,True,False,,True,False,,True,True,"""We conclude that they indeed possess quantum supremacy",True,False,,True,False,,True,True,"By doing time complexity analysis, we conclude that they indeed possess quantum supremacy",False
